Participant,Score,Measure,Session,
1,3.67,Positive,1,
2,3.00,Positive,1,
3,4.00,Positive,1,
4,3.67,Positive,1,
5,2.67,Positive,1,
6,1.33,Positive,1,
7,2.00,Positive,1,
8,3.00,Positive,1,
9,2.00,Positive,1,
1,1.67,Negative ,1,
2,1.00,Negative ,1,
3,0.67,Negative ,1,
4,0.67,Negative ,1,
5,1.33,Negative ,1,
6,1.33,Negative ,1,
7,0.67,Negative ,1,
8,1.67,Negative ,1,
9,1.67,Negative ,1,
1,3.00,Tiredness,1,
2,3.00,Tiredness,1,
3,1.00,Tiredness,1,
4,0.00,Tiredness,1,
5,1.00,Tiredness,1,
6,0.00,Tiredness,1,
7,1.00,Tiredness,1,
8,1.00,Tiredness,1,
9,2.00,Tiredness,1,
1,4.00,Return to Reality,1,
2,3.00,Return to Reality,1,
3,3.50,Return to Reality,1,
4,1.00,Return to Reality,1,
5,2.00,Return to Reality,1,
6,1.50,Return to Reality,1,
7,1.50,Return to Reality,1,
8,2.50,Return to Reality,1,
9,2.00,Return to Reality,1,
1,3.00,Positive,2,
2,3.00,Positive,2,
3,4.00,Positive,2,
4,2.33,Positive,2,
5,3.33,Positive,2,
6,1.33,Positive,2,
7,3.00,Positive,2,
8,3.00,Positive,2,
9,2.00,Positive,2,
1,1.33,Negative ,2,
2,2.67,Negative ,2,
3,1.00,Negative ,2,
4,2.00,Negative ,2,
5,2.33,Negative ,2,
6,0.67,Negative ,2,
7,1.67,Negative ,2,
8,2.33,Negative ,2,
9,1.67,Negative ,2,
1,3.00,Tiredness,2,
2,3.00,Tiredness,2,
3,1.00,Tiredness,2,
4,0.00,Tiredness,2,
5,1.00,Tiredness,2,
6,0.00,Tiredness,2,
7,1.00,Tiredness,2,
8,1.00,Tiredness,2,
9,2.00,Tiredness,2,
1,3.00,Return to Reality,2,
2,3.00,Return to Reality,2,
3,4.00,Return to Reality,2,
4,1.50,Return to Reality,2,
5,2.50,Return to Reality,2,
6,1.50,Return to Reality,2,
7,3.50,Return to Reality,2,
8,3.00,Return to Reality,2,
9,3.00,Return to Reality,2,
